曲线名称,曲线类型,日期,标准期限(年),收益率(%),N(年),K(年),期限描述
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.1462,4,6,6Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.1478,4,5,5Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.1324,4,4,4Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.0413,4,3,3Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,1.9574,4,2,2Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,1.7814,4,1,1Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.6757,5,15,15Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.6793,5,14,14Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.6782,5,13,13Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.6581,5,12,12Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.6079,5,11,11Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.548,5,10,10Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.4799,5,9,9Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.3928,5,8,8Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.3156,5,7,7Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.2576,5,6,6Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.2193,5,5,5Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.2396,5,4,4Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.2497,5,3,3Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.1715,5,2,2Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.1336,5,1,1Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.7146,6,14,14Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.7214,6,13,13Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.7237,6,12,12Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.7059,6,11,11Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.6555,6,10,10Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.5941,6,9,9Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.5233,6,8,8Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.4298,6,7,7Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.346,6,6,6Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.2824,6,5,5Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.2407,6,4,4Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.2749,6,3,3Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.3078,6,2,2Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.2095,6,1,1Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.7535,7,13,13Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.7642,7,12,12Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.7705,7,11,11Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.7557,7,10,10Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.7051,7,9,9Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.6423,7,8,8Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.5682,7,7,7Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.4666,7,6,6Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.3734,7,5,5Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.3007,7,4,4Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.2511,7,3,3Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.3077,7,2,2Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.4062,7,1,1Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.7825,8,12,12Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.7968,8,11,11Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.807,8,10,10Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.7946,8,9,9Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.7426,8,8,8Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.6761,8,7,7Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.5952,8,6,6Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.4787,8,5,5Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.3651,8,4,4Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.2655,8,3,3Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.1736,8,2,2Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.2093,8,1,1Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.8348,9,11,11Y
上海清算所农发行债收益率曲线,远期的即期,2026-02-09,0,2.8557,9,10,10Y
